Índice;Torrent;Titulo (Año);Titulo;Año;Calidad;Resolucion;Tipo;Idioma;Capitulo;Índice;Magnet;Infohash;ID;Score;Url
1; (2023) [Bluray][480p][Esp]; (2023);;2023;Bluray;SD;Pelicula;Castellano;;1;magnet:?xt=urn:btih:58bba6ec1153210d86723911631a1e0e736c6413;58bba6ec1153210d86723911631a1e0e736c6413;24f4a503cf857813ee2595fd1bc657757051b9d3;7.3;https://image.tmdb.org/t/p/w185/8LPC4o4JxiYf0gbfD0r47lvNlV1.jpg
2; (2023) [Bluray][720p][Esp]; (2023);;2023;Bluray;HD;Pelicula;Castellano;;2;magnet:?xt=urn:btih:6e2b386a7ad8846f16f22750cc8fa3d1b390d604;6e2b386a7ad8846f16f22750cc8fa3d1b390d604;1a9a7b8a10e599f78ad71114a5411da0d32b914b;7.3;https://image.tmdb.org/t/p/w185/8LPC4o4JxiYf0gbfD0r47lvNlV1.jpg
3;10 dias de un mal hombre (2023) [Bluray][480p][Esp];10 dias de un mal hombre (2023);10 dias de un mal hombre;2023;Bluray;SD;Pelicula;Castellano;;3;magnet:?xt=urn:btih:378d9a1cf98b244b56dc8a3a7f5deee5e8695540;378d9a1cf98b244b56dc8a3a7f5deee5e8695540;97a67cd5c67156fd8939058a118f769f4c56d764;6.9;https://image.tmdb.org/t/p/w185/n8jRIm25hKKTPjE8Zb2Cjacg4pI.jpg
4;10 dias de un mal hombre (2023) [Bluray][720p][Esp];10 dias de un mal hombre (2023);10 dias de un mal hombre;2023;Bluray;HD;Pelicula;Castellano;;4;magnet:?xt=urn:btih:3fabfc0d69fbb15dd8eefebbd097d7f3387eebb9;3fabfc0d69fbb15dd8eefebbd097d7f3387eebb9;fed008c2244d5165f8b28a4152c0fcb5e8bb3f54;6.9;https://image.tmdb.org/t/p/w185/n8jRIm25hKKTPjE8Zb2Cjacg4pI.jpg
5;11 Eyes - 01 [1080p];11 Eyes - 01;11 Eyes - 01;;;FHD;Pelicula;;;5;magnet:?xt=urn:btih:8e357034e981eb84631117ad74d86d6140d3161e;8e357034e981eb84631117ad74d86d6140d3161e;0;;
6;20.000 especies de abejas (2023) [Bluray][480p][Esp];20.000 especies de abejas (2023);20.000 especies de abejas;2023;Bluray;SD;Pelicula;Castellano;;6;magnet:?xt=urn:btih:be3076930e84ae294ac6dcff6ca9ae8977fd7f73;be3076930e84ae294ac6dcff6ca9ae8977fd7f73;59291a2c05f3d1e6f1c3d78719afbc9f0ab67500;7.3;https://image.tmdb.org/t/p/w185/xsmddONe1QoHaMQS8ilyKA9OPtr.jpg
7;20.000 especies de abejas (2023) [Bluray][720p][Esp];20.000 especies de abejas (2023);20.000 especies de abejas;2023;Bluray;HD;Pelicula;Castellano;;7;magnet:?xt=urn:btih:1a3288ac14f5e046d51ba1c6c7df068f43bb1cef;1a3288ac14f5e046d51ba1c6c7df068f43bb1cef;3546e0aaa175fc3ff22af9fb58ae000f040dbe18;7.3;https://image.tmdb.org/t/p/w185/xsmddONe1QoHaMQS8ilyKA9OPtr.jpg
8;4 estrella 81;4 estrella 81;4 estrella 81;;;;Pelicula;;;8;magnet:?xt=urn:btih:5d55c502525907edb08eaf6d2f0afb5e0227eb4d;5d55c502525907edb08eaf6d2f0afb5e0227eb4d;0;;
9;4 estrellas - Episodio 68- Venganza;4 estrellas - Episodio 68- Venganza;4 estrellas - Episodio 68- Venganza;;;;Pelicula;;;9;magnet:?xt=urn:btih:5e8843621f8b5583b62cbcac739d80fdc6cf8f0b;5e8843621f8b5583b62cbcac739d80fdc6cf8f0b;0;;
10;4 estrellas - Episodio 71- H�roe de Vera;4 estrellas - Episodio 71- H�roe de Vera;4 estrellas - Episodio 71- H�roe de Vera;;;;Pelicula;;;10;magnet:?xt=urn:btih:0a45892f912cd118cbb32a6c6155fbc63487fd28;0a45892f912cd118cbb32a6c6155fbc63487fd28;0;;
11;4 estrellas 53;4 estrellas 53;4 estrellas 53;;;;Pelicula;;;11;magnet:?xt=urn:btih:796443c00a69a20f1199c56d333026106d468cda;796443c00a69a20f1199c56d333026106d468cda;0;;
12;4 estrellas 57;4 estrellas 57;4 estrellas 57;;;;Pelicula;;;12;magnet:?xt=urn:btih:bcb9e3e6f05ef24933665bbda463bc3fc3aaf20f;bcb9e3e6f05ef24933665bbda463bc3fc3aaf20f;1fce2e5487c775a86fe44b003b85cd8a39749b97;;
13;4 estrellas 58;4 estrellas 58;4 estrellas 58;;;;Pelicula;;;13;magnet:?xt=urn:btih:012ea016d6d0276cb05696ae677ca236a86cb689;012ea016d6d0276cb05696ae677ca236a86cb689;0;;
14;4 estrellas 59;4 estrellas 59;4 estrellas 59;;;;Pelicula;;;14;magnet:?xt=urn:btih:2d6efdca7eaabe72f3b9aa16cea9435396e2b665;2d6efdca7eaabe72f3b9aa16cea9435396e2b665;af1dc6d3f6f4dbdb6d4e204e241990f72f725820;;
15;4 estrellas 60;4 estrellas 60;4 estrellas 60;;;;Pelicula;;;15;magnet:?xt=urn:btih:31bfc1a29e09bb1b8b07b2bc98b499bde05c2ddd;31bfc1a29e09bb1b8b07b2bc98b499bde05c2ddd;0;;
16;4 estrellas 63;4 estrellas 63;4 estrellas 63;;;;Pelicula;;;16;magnet:?xt=urn:btih:02d1db4ca627dd1adb0cb7f64cef8d594c5399c7;02d1db4ca627dd1adb0cb7f64cef8d594c5399c7;0;;
17;4 estrellas 64;4 estrellas 64;4 estrellas 64;;;;Pelicula;;;17;magnet:?xt=urn:btih:d9de169ff30e5072a1b1704246f1f3ad2d960101;d9de169ff30e5072a1b1704246f1f3ad2d960101;0;;
